label,input_cls,wa_staged,wa_status,wa_wall_s,wa_rss_mb,wa_cpg_mb,wa_target_methods,wa_own_sinks,cv_cls,cv_status,cv_wall_s,cv_rss_mb,cv_cpg_mb,cv_target_methods,cv_own_sinks
com.skt.tmap.ku,50157,50157,timeout,180.00,2,0,NA,NA,117,ok,3.16,317,0,557,6
com.Monthly23.SwipeBrickBreaker,13974,13974,timeout,180.00,2,0,NA,NA,201,ok,3.81,436,0,895,8
com.appsnine.audiorecorder,11677,11676,timeout,180.00,1,0,NA,NA,163,ok,2.78,423,0,574,6
com.appsnine.compass,12385,12384,timeout,179.99,2,0,NA,NA,210,ok,3.50,436,0,749,6
com.gretech.gomplayerko,59668,59668,fail1,52.56,1340,0,NA,NA,295,ok,3.82,526,1,1349,9
com.megabox.mop,42702,42701,timeout,2097.94,2,0,NA,NA,271,ok,3.70,476,1,1457,9
com.somcloud.somnote,58431,58430,timeout,831.49,2,0,NA,NA,184,ok,4.25,480,0,909,8
